iter	Passed	Remaining
0	2	2450
1	4	2332
2	6	2262
3	9	2266
4	11	2256
5	13	2231
6	15	2213
7	17	2196
8	19	2169
9	21	2142
10	23	2114
11	25	2077
12	26	2042
13	28	2033
14	30	2018
15	32	2002
16	34	1998
17	36	1984
18	38	1979
19	39	1958
20	41	1945
21	43	1932
22	45	1928
23	47	1922
24	48	1907
25	50	1893
26	52	1881
27	53	1869
28	55	1859
29	57	1850
30	58	1839
31	60	1834
32	62	1828
33	64	1823
34	65	1816
35	67	1807
36	69	1800
37	70	1793
38	72	1784
39	74	1778
40	75	1774
41	77	1769
42	79	1768
43	81	1763
44	82	1759
45	85	1768
46	87	1769
47	89	1765
48	90	1761
49	92	1757
50	94	1752
51	95	1748
52	97	1745
53	99	1742
54	101	1740
55	103	1737
56	104	1735
57	106	1735
58	108	1734
59	110	1736
60	112	1734
61	114	1729
62	116	1728
63	118	1726
64	119	1725
65	121	1721
66	123	1720
67	125	1718
68	127	1716
69	129	1715
70	131	1714
71	132	1714
72	134	1713
73	136	1709
74	138	1706
75	140	1702
76	141	1700
77	143	1699
78	145	1697
79	147	1694
80	149	1691
81	150	1688
82	152	1685
83	154	1684
84	156	1680
85	158	1681
86	160	1681
87	162	1679
88	163	1676
89	165	1673
90	168	1679
91	169	1676
92	171	1674
93	173	1672
94	175	1672
95	177	1672
96	179	1669
97	181	1667
98	182	1665
99	184	1662
100	186	1658
101	188	1656
102	189	1652
103	191	1650
104	193	1649
105	195	1648
106	197	1646
107	199	1644
108	200	1642
109	202	1640
110	204	1636
111	206	1634
112	208	1632
113	209	1629
114	211	1627
115	213	1625
116	215	1624
117	216	1621
118	218	1618
119	220	1615
120	222	1613
121	223	1610
122	225	1608
123	227	1605
124	229	1603
125	230	1602
126	232	1600
127	234	1598
128	236	1596
129	238	1595
130	240	1593
131	242	1592
132	243	1589
133	245	1586
134	248	1589
135	250	1588
136	251	1586
137	253	1584
138	255	1582
139	257	1582
140	259	1579
141	261	1577
142	262	1575
143	264	1574
144	266	1571
145	268	1569
146	270	1568
147	272	1566
148	274	1566
149	276	1564
150	278	1565
151	280	1563
152	282	1562
153	284	1560
154	285	1556
155	287	1555
156	289	1553
157	291	1551
158	292	1549
159	294	1547
160	296	1545
161	298	1543
162	300	1540
163	301	1537
164	303	1535
165	305	1533
166	307	1531
167	308	1529
168	310	1527
169	312	1524
170	314	1522
171	315	1520
172	317	1517
173	319	1515
174	320	1513
175	322	1510
176	324	1508
177	326	1505
178	327	1503
179	329	1501
180	331	1498
181	332	1496
182	334	1494
183	336	1491
184	338	1490
185	340	1488
186	341	1486
187	343	1484
188	345	1482
189	347	1480
190	349	1479
191	350	1476
192	352	1474
193	354	1472
194	356	1470
195	358	1469
196	360	1468
197	362	1467
198	364	1465
199	366	1464
200	367	1462
201	370	1462
202	371	1460
203	373	1458
204	375	1456
205	377	1455
206	379	1453
207	381	1451
208	383	1450
209	385	1448
210	386	1446
211	388	1444
212	390	1442
213	392	1441
214	394	1440
215	396	1438
216	398	1436
217	400	1436
218	402	1436
219	404	1434
220	406	1432
221	408	1430
222	410	1428
223	411	1426
224	413	1424
225	415	1423
226	417	1421
227	419	1419
228	421	1418
229	423	1417
230	425	1415
231	426	1412
232	428	1410
233	430	1408
234	432	1406
235	433	1404
236	435	1402
237	437	1401
238	439	1399
239	441	1397
240	443	1395
241	444	1393
242	446	1391
243	448	1389
244	450	1388
245	452	1386
246	454	1384
247	456	1382
248	457	1381
249	459	1379
250	461	1377
251	463	1375
252	465	1373
253	466	1371
254	469	1371
255	471	1369
256	473	1368
257	475	1366
258	477	1364
259	478	1363
260	480	1361
261	482	1359
262	484	1357
263	486	1356
264	488	1354
265	490	1352
266	491	1350
267	493	1349
268	495	1347
269	497	1345
270	499	1343
271	501	1342
272	503	1340
273	505	1338
274	506	1336
275	508	1334
276	510	1332
277	512	1330
278	514	1329
279	516	1327
280	518	1325
281	519	1323
282	521	1321
283	523	1319
284	525	1317
285	527	1315
286	529	1314
287	530	1312
288	532	1310
289	534	1308
290	536	1307
291	538	1305
292	540	1303
293	541	1301
294	543	1299
295	545	1297
296	547	1295
297	549	1293
298	550	1291
299	552	1289
300	554	1287
301	556	1285
302	558	1283
303	560	1282
304	561	1280
305	563	1278
306	565	1276
307	567	1274
308	569	1272
309	570	1270
310	572	1268
311	574	1267
312	576	1265
313	578	1262
314	579	1260
315	581	1258
316	583	1256
317	585	1254
